text,label
"We are delighted to officially confirm your selection for the role of Software Development Engineer Intern at Bluestock Fintech. To proceed with the onboarding process please complete the joining formalities by submitting the joining letter at the link below.","offer"
"Hi Vamshi, We are thrilled to extend an offer for the Data Science Intern position at Myntra. Your stipend will be 25000 per month for a period of 6 months starting March 2026. Please find the offer letter attached.","offer"
"Dear Gourwar, We are pleased to offer you the role of ML Engineer Intern at Freshworks. Please review the attached offer letter and revert with your acceptance by Friday. We look forward to having you on the team.","offer"
"Hi Vamshi Krishna, Congratulations on successfully completing the interview process for the Backend Intern role at Razorpay. We are happy to offer you the position with a stipend of 30000 per month. Please confirm your acceptance.","offer"
"Dear Gourwar, It is our pleasure to offer you the position of Data Analyst Intern at Zepto. Kindly sign and return the attached offer letter by the end of this week to confirm your acceptance of this offer.","offer"
"Hi Vamshi, We are excited to officially offer you the Software Engineer Intern role at Groww. The offer includes a monthly stipend of 20000. Please find the detailed offer letter attached and confirm by Monday.","offer"
"Dear Vamshi Krishna, We are happy to inform you that you have been selected for the Data Engineer Intern position at PhonePe. Please review the attached offer letter and sign it digitally to confirm your joining.","offer"
"Hi Gourwar, After a thorough evaluation of your interviews we are delighted to offer you the position of Full Stack Intern at Zerodha. Kindly acknowledge receipt of this offer and confirm your acceptance at the earliest.","offer"
"Dear Vamshi, Congratulations on clearing all rounds of our hiring process. We are pleased to offer you the role of Python Developer Intern at Postman. The joining date is April 1 2026. Please find the offer letter attached.","offer"
"Hi Vamshi Krishna, It gives us great pleasure to extend an offer for the Business Analyst Intern role at CRED. Your monthly stipend will be 22000. Please sign and return the attached document to confirm acceptance.","offer"
"Dear Gourwar, We are thrilled to welcome you to the Swiggy family. Please find attached your official offer letter for the role of ML Engineer Intern. Kindly complete the joining formalities before March 15 2026.","offer"
"Hi Vamshi, After carefully reviewing your application we are unfortunately moving forward with other candidates based on specific qualifications for this role. Our team was impressed by your skills and we wish you the best.","rejection"
"Hi Vamshi, Thank you for applying to the Software Application Development Apprenticeship role. We carefully reviewed your background and decided not to proceed with your application at this time. Best of luck, Google Recruiting","rejection"
"Dear Vamshi, After thorough consideration we regret to inform you that we will not be moving forward with your application for the Data Analyst role at Zomato. We appreciate the time you invested in our interview process.","rejection"
"Hi Gourwar, Thank you for interviewing for the Software Engineer Intern position at Paytm. Unfortunately we have decided to move forward with candidates whose experience more closely matches our current needs.","rejection"
"Dear Vamshi Krishna, We regret to inform you that after careful review of your application for the Python Developer role at Infosys we are unable to move forward at this time. We encourage you to apply for future openings.","rejection"
"Hi Vamshi, We appreciate your interest in the Data Science Intern role at Ola. After reviewing your application we have decided to pursue other candidates at this time. We will keep your profile for future opportunities.","rejection"
"Dear Gourwar, Thank you for your time and effort during the interview process for the ML Engineer role at Meesho. After careful deliberation we regret to inform you that we will not be extending an offer at this time.","rejection"
"Hi Vamshi Krishna, We appreciate you applying for the Backend Developer Intern position at Dunzo. After reviewing your qualifications we have decided to move forward with candidates who more closely match our requirements.","rejection"
"Dear Vamshi, Thank you for your interest in the Data Analyst Intern role at Nykaa. We have carefully considered your application and regret to inform you that we are unable to offer you a position at this time.","rejection"
"Hi Gourwar, We wanted to update you on your application for the Full Stack Developer Intern role at Urban Company. After careful review we will not be moving forward with your candidacy. We wish you all the best.","rejection"
"Dear Vamshi, We regret to inform you that your application for the Product Analyst Intern role at Lenskart has not been successful. Thank you for your interest and we encourage you to apply for future openings.","rejection"
"Invitation for L1 round of Interview for Data Science Internship Position. Microsoft Teams Meeting scheduled for Monday Feb 2 11:00 AM to 11:30 AM. Sneha Murududdi Organizer.","interview"
"Dear Vamshi, We were impressed by your profile and would like to invite you for a technical interview for the Data Engineer Intern role at Flipkart. Please use the link below to schedule a 45 minute call with our engineering team.","interview"
"Hi Vamshi Krishna, We reviewed your application for the Backend Developer Intern position and would love to schedule a screening call with you. Please let us know your availability for a 30 minute call this week.","interview"
"Dear Gourwar, Congratulations on clearing the first round. We would like to invite you for the HR round of interviews for the Data Science role at Razorpay. Please confirm your availability for a 30 minute video call.","interview"
"Hi Vamshi, We are excited to move forward with your application for the ML Engineer Intern role at Swiggy. Our technical team would like to schedule a coding round with you. Please complete the assessment at the link below.","interview"
"Dear Vamshi Krishna, After reviewing your profile we would like to invite you for a technical screening for the Data Analyst Intern role at Paytm. Please click the link below to schedule a convenient time slot.","interview"
"Hi Gourwar, Congratulations on being shortlisted for the Software Engineer Intern role at Freshworks. We would like to schedule a 45 minute technical interview. Please share your availability for this week or next.","interview"
"Dear Vamshi, Our hiring team has reviewed your application for the Full Stack Intern role at Postman and we are pleased to invite you for a first round interview. Please find the meeting link and instructions below.","interview"
"Hi Vamshi Krishna, We are glad to inform you that you have been shortlisted for the Python Developer Intern role at Zoho. Kindly schedule your technical interview using the calendar link provided below.","interview"
"Dear Gourwar, We reviewed your application for the Business Analyst Intern position at CRED and would like to invite you for a case study round. Please confirm your availability for a 60 minute virtual session.","interview"
"Hi Vamshi, Our team at PhonePe has reviewed your application for the Data Science Intern role and we are impressed with your profile. We would like to schedule an initial HR call. Please share your availability.","interview"
"Dear Gourwar, Thank you for submitting your application for the position of Python Engineer. We will review your application and contact you shortly. Best regards, AutonomIQ Hiring Team","other"
"Hi Gourwar, Congratulations you star! By applying for Frontend Engineering Internship at Atomity you have taken the first step towards an exciting career opportunity. Wishing you all the best for the next steps.","other"
"Thank you for your application for the Full Stack Engineer position. Please confirm the must-have requirements including experience in full-stack development and proficiency in solution architecture and API integration.","other"
"Hi Vamshi Krishna Gourwar, Thank you for your application. A member of our recruiting team will reach out if your experience and skills are a match for this opportunity. Thank you, Goldman Sachs Recruiting Team","other"
"We are glad that you are interested in a career at JPMorganChase. Your application for Data Analyst Associate was successfully submitted and we appreciate your patience as we review all applications.","other"
"We are glad that you are interested in a career at JPMorganChase. Your application for Business Management Analyst was successfully submitted and we appreciate your patience as we review all applications.","other"
"Hi Vamshi Krishna, Thanks for applying to our Machine Learning Engineer Intern role. We received your application and will be in touch about next steps. Thanks, The team at Peakflo","other"
"Dear Gourwar, Thank you for applying for the Data Analyst Intern position at Optimspace. Our hiring team is currently reviewing all submissions. If you are among the qualified candidates you will receive a call or email.","other"
"Hi Gourwar, Thank you for taking the time to submit your application for Security Assurance Intern at Microsoft. Your application is being evaluated and you will hear from us as soon as the review process is complete.","other"
"Hi Gourwar, Thank you for your interest in Sprinto. We received your application for the role of Fullstack Intern and we shall be reviewing your application shortly. Our team will contact you once qualifications match.","other"
"Hi Vamshi, Thank you for applying for the Data Science Intern role at Groww. We have received your application and our team will review it shortly. You will hear from us if your profile matches our requirements.","other"
"Dear Vamshi Krishna, Thank you for applying to the Product Analyst Intern position at Urban Company. We have received your application and will reach out to you if your qualifications match our current openings.","other"